    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[183]	train-merror:0.115094+0.00027293	test-merror:0.122132+0.000594964
[184]	train-merror:0.114929+0.000292853	test-merror:0.122071+0.000595158
[185]	train-merror:0.11479+0.000346449	test-merror:0.121976+0.000594788
[186]	train-merror:0.114611+0.00032714	test-merror:0.121877+0.000548054
[187]	train-merror:0.114477+0.000358346	test-merror:0.121759+0.000618651
[188]	train-merror:0.114338+0.000395886	test-merror:0.121702+0.000661738
[189]	train-merror:0.114206+0.000363328	test-merror:0.121508+0.000610531
[190]	train-merror:0.114061+0.000381142	test-merror:0.121406+0.000644652
[191]	train-merror:0.113928+0.000352751	test-merror:0.121394+0.000677086
[192]	train-merror:0.113747+0.000379177	test-merror:0.12125+0.000736637
[193]	train-merror:0.113611+0.000333768	test-merror:0.121136+0.000731294
[194]	train-merror:0.113467+0.000315265	test-merror:0.120946+0.000722852
[195]	train-merror:0.113268+0.000325245	test-merror:0.120885+0.000757047
[196]	train-merror:0.113144+0.000331885	test-merror:0.120794+0.000766403
[197]	train-merror:0.113073+0.000301457	test-merror:0.120782+0.000774301
[198]	train-merror:0.112828+0.000418936	test-merror:0.120645+0.000734213
[199]	train-merror:0.112717+0.000419986	test-merror:0.120501+0.000704567
[200]	train-merror:0.112623+0.000444588	test-merror:0.120402+0.000761135
[201]	train-merror:0.112518+0.000438006	test-merror:0.120379+0.000795979
[202]	train-merror:0.112357+0.000440573	test-merror:0.120243+0.000775051
[203]	train-merror:0.11227+0.000416147	test-merror:0.120186+0.000800349
[204]	train-merror:0.112106+0.000384652	test-merror:0.119988+0.000702394
[205]	train-merror:0.111933+0.000398442	test-merror:0.119874+0.00066425
[206]	train-merror:0.111824+0.000401979	test-merror:0.119786+0.000649944
[207]	train-merror:0.111721+0.000371322	test-merror:0.119657+0.000657411
[208]	train-merror:0.111586+0.000368336	test-merror:0.119611+0.000626436
[209]	train-merror:0.111396+0.000370429	test-merror:0.119478+0.000718552
[210]	train-merror:0.111257+0.000365032	test-merror:0.119383+0.00067031
[211]	train-merror:0.111162+0.000335444	test-merror:0.11919+0.000590114
[212]	train-merror:0.111063+0.000289536	test-merror:0.119083+0.000680338
[213]	train-merror:0.11097+0.000285882	test-merror:0.119045+0.00067736
[214]	train-merror:0.110961+0.000296	test-merror:0.119038+0.000678978
[215]	train-merror:0.110841+0.000391448	test-merror:0.118965+0.000623432
[216]	train-merror:0.110728+0.000393677	test-merror:0.118848+0.000660435
[217]	train-merror:0.110639+0.000360379	test-merror:0.118825+0.000689718
[218]	train-merror:0.110415+0.000315115	test-merror:0.118639+0.000769498
[219]	train-merror:0.110316+0.00027937	test-merror:0.118525+0.000749824
